Code,Long Name,Income Group,Region,Lending category,Other groups,Currency Unit,Latest population census,Latest household survey,Special Notes,National accounts base year,National accounts reference year,System of National Accounts,SNA price valuation,Alternative conversion factor,PPP survey years,Balance of Payments Manual in use,External debt Reporting status,System of trade,Government Accounting concept,IMF data dissemination standard,Source of most recent Income and expenditure data,Vital registration complete,Latest agricultural census,Latest industrial data,Latest trade data,Latest water withdrawal data,2-alpha code,WB-2 code,Table Name,Short Name
BRA,Brazil,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,Brazil,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,Brazil,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,Brazil,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,Brazil,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,Brazil,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,Brazil,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,Brazil,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,Brazil,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,Brazil,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,Brazil,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,Brazil,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,Brazil,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,Brazil,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,Brazil,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,Brazil,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,Brazil,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGR,Bulgaria,Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGR,Bulgaria,Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGR,Bulgaria,Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGR,Bulgaria,Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGR,Bulgaria,Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGR,Bulgaria,Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGR,Bulgaria,Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGR,Bulgaria,Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGR,Bulgaria,Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGR,Bulgaria,Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGR,Bulgaria,Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGR,Bulgaria,Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGR,Bulgaria,Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGR,Bulgaria,Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGR,Bulgaria,Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGR,Bulgaria,Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGR,Bulgaria,Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGR,Bulgaria,Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGR,Bulgaria,Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGR,Bulgaria,Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGR,Bulgaria,Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGR,Bulgaria,Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGR,Bulgaria,Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGR,Bulgaria,Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGR,Bulgaria,Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGR,Bulgaria,Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGR,Bulgaria,Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGR,Bulgaria,Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGR,Bulgaria,Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGR,Bulgaria,Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGR,Bulgaria,Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGR,Bulgaria,Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGR,Bulgaria,Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGR,Bulgaria,Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGR,Bulgaria,Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGR,Bulgaria,Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGR,Bulgaria,Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGR,Bulgaria,Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGR,Bulgaria,Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGR,Bulgaria,Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGR,Bulgaria,Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGR,Bulgaria,Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGR,Bulgaria,Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGR,Bulgaria,Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGR,Bulgaria,Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGR,Bulgaria,Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGR,Bulgaria,Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGR,Bulgaria,Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGR,Bulgaria,Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGR,Bulgaria,Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGR,Bulgaria,Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGR,Bulgaria,Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFA,Burkina Faso,Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFA,Burkina Faso,Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFA,Burkina Faso,Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFA,Burkina Faso,Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFA,Burkina Faso,Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFA,Burkina Faso,Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFA,Burkina Faso,Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFA,Burkina Faso,Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFA,Burkina Faso,Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFA,Burkina Faso,Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFA,Burkina Faso,Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFA,Burkina Faso,Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFA,Burkina Faso,Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFA,Burkina Faso,Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFA,Burkina Faso,Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFA,Burkina Faso,Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFA,Burkina Faso,Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFA,Burkina Faso,Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFA,Burkina Faso,Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFA,Burkina Faso,Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFA,Burkina Faso,Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFA,Burkina Faso,Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFA,Burkina Faso,Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFA,Burkina Faso,Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFA,Burkina Faso,Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFA,Burkina Faso,Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFA,Burkina Faso,Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFA,Burkina Faso,Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFA,Burkina Faso,Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFA,Burkina Faso,Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFA,Burkina Faso,Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFA,Burkina Faso,Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFA,Burkina Faso,Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFA,Burkina Faso,Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFA,Burkina Faso,Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFA,Burkina Faso,Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFA,Burkina Faso,Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFA,Burkina Faso,Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFA,Burkina Faso,Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFA,Burkina Faso,Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFA,Burkina Faso,Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFA,Burkina Faso,Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFA,Burkina Faso,Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFA,Burkina Faso,Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFA,Burkina Faso,Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFA,Burkina Faso,Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFA,Burkina Faso,Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFA,Burkina Faso,Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFA,Burkina Faso,Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFA,Burkina Faso,Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFA,Burkina Faso,Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFA,Burkina Faso,Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDI,Burundi,Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDI,Burundi,Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDI,Burundi,Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDI,Burundi,Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDI,Burundi,Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDI,Burundi,Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDI,Burundi,Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDI,Burundi,Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDI,Burundi,Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDI,Burundi,Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDI,Burundi,Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDI,Burundi,Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDI,Burundi,Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDI,Burundi,Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDI,Burundi,Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDI,Burundi,Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDI,Burundi,Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDI,Burundi,Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDI,Burundi,Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDI,Burundi,Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDI,Burundi,Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDI,Burundi,Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDI,Burundi,Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDI,Burundi,Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDI,Burundi,Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDI,Burundi,Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDI,Burundi,Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDI,Burundi,Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDI,Burundi,Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDI,Burundi,Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDI,Burundi,Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDI,Burundi,Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDI,Burundi,Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDI,Burundi,Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDI,Burundi,Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDI,Burundi,Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDI,Burundi,Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDI,Burundi,Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDI,Burundi,Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDI,Burundi,Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDI,Burundi,Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDI,Burundi,Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDI,Burundi,Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDI,Burundi,Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDI,Burundi,Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDI,Burundi,Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDI,Burundi,Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDI,Burundi,Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDI,Burundi,Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDI,Burundi,Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDI,Burundi,Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDI,Burundi,Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,Cambodia,Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,Cambodia,Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,Cambodia,Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,Cambodia,Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,Cambodia,Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,Cambodia,Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,Cambodia,Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,Cambodia,Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,Cambodia,Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,Cambodia,Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,Cambodia,Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,Cambodia,Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,Cambodia,Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,Cambodia,Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,Cambodia,Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,Cambodia,Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,Cambodia,Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,Cambodia,Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,Cambodia,Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,Cambodia,Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,Cambodia,Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,Cambodia,Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,Cambodia,Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,Cambodia,Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,Cambodia,Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,Cambodia,Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,Cambodia,Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,Cambodia,Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,Cambodia,Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,Cambodia,Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,Cambodia,Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,Cambodia,Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,Cambodia,Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,Cambodia,Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,Cambodia,Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,Cambodia,Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,Cambodia,Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,Cambodia,Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,Cambodia,Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,Cambodia,Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,Cambodia,Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,Cambodia,Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,Cambodia,Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,Cambodia,Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,Cambodia,Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,Cambodia,Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,Cambodia,Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,Cambodia,Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,Cambodia,Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,Cambodia,Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,Cambodia,Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,Cambodia,Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMR,Cameroon,Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMR,Cameroon,Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMR,Cameroon,Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMR,Cameroon,Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMR,Cameroon,Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMR,Cameroon,Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMR,Cameroon,Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMR,Cameroon,Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMR,Cameroon,Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMR,Cameroon,Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMR,Cameroon,Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMR,Cameroon,Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMR,Cameroon,Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMR,Cameroon,Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMR,Cameroon,Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMR,Cameroon,Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMR,Cameroon,Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMR,Cameroon,Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMR,Cameroon,Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMR,Cameroon,Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMR,Cameroon,Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMR,Cameroon,Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMR,Cameroon,Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMR,Cameroon,Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMR,Cameroon,Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMR,Cameroon,Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMR,Cameroon,Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMR,Cameroon,Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMR,Cameroon,Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMR,Cameroon,Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMR,Cameroon,Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMR,Cameroon,Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMR,Cameroon,Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMR,Cameroon,Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMR,Cameroon,Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMR,Cameroon,Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMR,Cameroon,Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMR,Cameroon,Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMR,Cameroon,Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMR,Cameroon,Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMR,Cameroon,Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMR,Cameroon,Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMR,Cameroon,Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMR,Cameroon,Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMR,Cameroon,Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMR,Cameroon,Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMR,Cameroon,Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMR,Cameroon,Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMR,Cameroon,Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMR,Cameroon,Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMR,Cameroon,Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMR,Cameroon,Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,Canada,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,Canada,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,Canada,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,Canada,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,Canada,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,Canada,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,Canada,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,Canada,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,Canada,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,Canada,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,Canada,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,Canada,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,Canada,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,Canada,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,Canada,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,Canada,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,Canada,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,Canada,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,Canada,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,Canada,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,Canada,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,Canada,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,Canada,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,Canada,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,Canada,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,Canada,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,Canada,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,Canada,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,Canada,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,Canada,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,Canada,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,Canada,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,Canada,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,Canada,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,Canada,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,
